,,,,,QUARTER,INFLATION,DIFFERENCE
,,,,,1959-Q4,1.612903,
USA,CPI,TOT,AGRWTH,Q,1960-Q1,1.497696,-0.115207
USA,CPI,TOT,AGRWTH,Q,1960-Q2,1.722158,0.224462
USA,CPI,TOT,AGRWTH,Q,1960-Q3,1.254276,-0.467882
USA,CPI,TOT,AGRWTH,Q,1960-Q4,1.360544,0.106268
USA,CPI,TOT,AGRWTH,Q,1961-Q1,1.475596,0.115052
USA,CPI,TOT,AGRWTH,Q,1961-Q2,0.9029346,-0.5726614
USA,CPI,TOT,AGRWTH,Q,1961-Q3,1.238739,0.3358044
USA,CPI,TOT,AGRWTH,Q,1961-Q4,0.671141,-0.567598
USA,CPI,TOT,AGRWTH,Q,1962-Q1,0.8948546,0.2237136
USA,CPI,TOT,AGRWTH,Q,1962-Q2,1.342282,0.4474274
USA,CPI,TOT,AGRWTH,Q,1962-Q3,1.223582,-0.1187
USA,CPI,TOT,AGRWTH,Q,1962-Q4,1.333333,0.109751
USA,CPI,TOT,AGRWTH,Q,1963-Q1,1.219512,-0.113821
USA,CPI,TOT,AGRWTH,Q,1963-Q2,1.103753,-0.115759
USA,CPI,TOT,AGRWTH,Q,1963-Q3,1.208791,0.105038
USA,CPI,TOT,AGRWTH,Q,1963-Q4,1.425439,0.216648
USA,CPI,TOT,AGRWTH,Q,1964-Q1,1.533406,0.107967
USA,CPI,TOT,AGRWTH,Q,1964-Q2,1.310044,-0.223362
USA,CPI,TOT,AGRWTH,Q,1964-Q3,1.194354,-0.11569
USA,CPI,TOT,AGRWTH,Q,1964-Q4,1.081081,-0.113273
USA,CPI,TOT,AGRWTH,Q,1965-Q1,1.078749,-0.002332
USA,CPI,TOT,AGRWTH,Q,1965-Q2,1.724138,0.645389
USA,CPI,TOT,AGRWTH,Q,1965-Q3,1.716738,-0.0074
USA,CPI,TOT,AGRWTH,Q,1965-Q4,1.818182,0.101444
USA,CPI,TOT,AGRWTH,Q,1966-Q1,2.347919,0.529737
USA,CPI,TOT,AGRWTH,Q,1966-Q2,2.754237,0.406318
USA,CPI,TOT,AGRWTH,Q,1966-Q3,3.270042,0.515805
USA,CPI,TOT,AGRWTH,Q,1966-Q4,3.676471,0.406429
USA,CPI,TOT,AGRWTH,Q,1967-Q1,3.023983,-0.652488
USA,CPI,TOT,AGRWTH,Q,1967-Q2,2.680412,-0.343571
USA,CPI,TOT,AGRWTH,Q,1967-Q3,2.655771,-0.024641
USA,CPI,TOT,AGRWTH,Q,1967-Q4,2.735562,0.079791
USA,CPI,TOT,AGRWTH,Q,1968-Q1,3.846154,1.110592
USA,CPI,TOT,AGRWTH,Q,1968-Q2,4.016064,0.16991
USA,CPI,TOT,AGRWTH,Q,1968-Q3,4.477612,0.461548
USA,CPI,TOT,AGRWTH,Q,1968-Q4,4.733728,0.256116
USA,CPI,TOT,AGRWTH,Q,1969-Q1,4.775828,0.0421
USA,CPI,TOT,AGRWTH,Q,1969-Q2,5.501931,0.726103
USA,CPI,TOT,AGRWTH,Q,1969-Q3,5.619048,0.117117
USA,CPI,TOT,AGRWTH,Q,1969-Q4,5.932203,0.313155
USA,CPI,TOT,AGRWTH,Q,1970-Q1,6.046512,0.114309
USA,CPI,TOT,AGRWTH,Q,1970-Q2,6.038426,-0.008086
USA,CPI,TOT,AGRWTH,Q,1970-Q3,5.680793,-0.357633
USA,CPI,TOT,AGRWTH,Q,1970-Q4,5.6,-0.080793000000001
USA,CPI,TOT,AGRWTH,Q,1971-Q1,5,-0.6
USA,CPI,TOT,AGRWTH,Q,1971-Q2,4.400345,-0.599655
USA,CPI,TOT,AGRWTH,Q,1971-Q3,4.351536,-0.048809
USA,CPI,TOT,AGRWTH,Q,1971-Q4,3.451179,-0.900357
USA,CPI,TOT,AGRWTH,Q,1972-Q1,3.42523,-0.025949
USA,CPI,TOT,AGRWTH,Q,1972-Q2,3.140496,-0.284734
USA,CPI,TOT,AGRWTH,Q,1972-Q3,3.025347,-0.115149
USA,CPI,TOT,AGRWTH,Q,1972-Q4,3.49878,0.473433
USA,CPI,TOT,AGRWTH,Q,1973-Q1,4.038772,0.539992
USA,CPI,TOT,AGRWTH,Q,1973-Q2,5.528846,1.490074
USA,CPI,TOT,AGRWTH,Q,1973-Q3,6.825397,1.296551
USA,CPI,TOT,AGRWTH,Q,1973-Q4,8.254717,1.42932
USA,CPI,TOT,AGRWTH,Q,1974-Q1,9.937888,1.683171
USA,CPI,TOT,AGRWTH,Q,1974-Q2,10.55429,0.616402000000001
USA,CPI,TOT,AGRWTH,Q,1974-Q3,11.44131,0.88702
USA,CPI,TOT,AGRWTH,Q,1974-Q4,12.20044,0.759130000000001
USA,CPI,TOT,AGRWTH,Q,1975-Q1,11.08757,-1.11287
USA,CPI,TOT,AGRWTH,Q,1975-Q2,9.684066,-1.403504
USA,CPI,TOT,AGRWTH,Q,1975-Q3,8.733334,-0.950732
USA,CPI,TOT,AGRWTH,Q,1975-Q4,7.249191,-1.484143
USA,CPI,TOT,AGRWTH,Q,1976-Q1,6.357279,-0.891912
USA,CPI,TOT,AGRWTH,Q,1976-Q2,6.073889,-0.28339
USA,CPI,TOT,AGRWTH,Q,1976-Q3,5.518087,-0.555802
USA,CPI,TOT,AGRWTH,Q,1976-Q4,5.069403,-0.448684
USA,CPI,TOT,AGRWTH,Q,1977-Q1,5.85774,0.788336999999999
USA,CPI,TOT,AGRWTH,Q,1977-Q2,6.847698,0.989958000000001
USA,CPI,TOT,AGRWTH,Q,1977-Q3,6.682161,-0.165537000000001
USA,CPI,TOT,AGRWTH,Q,1977-Q4,6.605399,-0.076762
USA,CPI,TOT,AGRWTH,Q,1978-Q1,6.606437,0.001037999999999
USA,CPI,TOT,AGRWTH,Q,1978-Q2,6.961326,0.354889
USA,CPI,TOT,AGRWTH,Q,1978-Q3,7.95207,0.990744
